Name,Price,Year,Style,Made In,Kilometer,Province,District,Gearbox,Fuel,Description
Ford Explorer Limited 2022,1 tỉ 855 triệu,2022,SUV,Nhập khẩu,32.000 km,Tp.HCM,Tân Phú,Số tự động,Máy xăng,"EXPLORER_2022. Xe cá nhân. Màu: Đỏ. Lướt: 32.000km. Full lịch sử bảo dưỡng. Phụ kiện đi kèm: Phim cách nhiệt, lót sàn 5D. Giá: 1.855 triệu. Hỗ trợ ngân hàng tối đa 65%-75% giá trị xe. Bán xe qua sử dụng đã được kiểm định nghiêm ngặt tại hãng. Check hãng theo yêu cầu của khách hàng. - Xe được bảo hành 12 tháng tại hãng. - Cam kết không đâm đụng, ngập nước, tua odo. Cam kết máy móc nguyên bản không trùng tu máy móc. - Thu mua, giao xe xem xe lái thử tận nhà. BẾN THÀNH FORD. Đại lý ủy quyền chính thức Ford Việt Nam. 39 Chế Lan Viên, P. Tây Thạnh, Q. Tân Phú, TPHCM. Hotline Kinh doanh: 0399 272 279. #ford #transit2024 #transit #xequasudung #xecu #ranger #everest #territory #raptor #xls #wildtrak #stormtrak."
Mazda CX-5 2.0 4WD 2014,450 triệu,2014,SUV,Trong nước,100.000 km,Phú Thọ,Đoan Hùng,Số tự động,Máy xăng,"Siêu thị Ô tô Ánh Lý bán xe Mazda CX-5 2.0AT bản Hai cầu sản xuất năm 2014 đẹp xuất sắc, biển thủ đô sơ rút nhanh gọn. + Ngoại thất thiết kế hiện đại, màu xanh bóng đẹp, đèn bi Led, bi gầm, mâm đúc 19 Inch,... + Nội thất ghế da cao cấp+chỉnh điện, cửa sổ trời, Ga tự động Cruise Control, đề nổ Start/Stop, vô lăng tích hợp, màn hình Andorid kết hợp camera lùi, điều hòa hai chiều hai vùng độc lập auto, gương kính chỉnh điện, túi khí an toàn,... + Cam kết xe không đâm đụng, không ngập nước, máy nguyên bản nhà sản xuất. Hỗ trợ trả góp 50% giá trị xe. Vui lòng liên hệ để nhận thêm thông tin chi tiết!"
BMW 320i Sport Line 2018,850 triệu,2018,Sedan,Trong nước,20.000 km,Hà Nội,,Máy xăng,,"BMW 320i nhập Đức lăn bánh T1.2019. Odo 2v ml, 1 chủ từ mới, bảo dưỡng full hãng, chất xe đẹp keng như new, xe nhập chất lượng khỏi bàn. Giá em bán 850tr / hỗ trợ vay 70%. Đưa trước 300tr lấy xe đi luôn. - Cam kết về xe không đâm đụng tai nạn. - Máy và hộp số zin nguyên bản. - Km zin theo xe. - Xe đẹp không lỗi."
Hyundai Starex 2015,435 triệu,2015,Minibus,Nhập khẩu,10.000 km,Hà Nội,Đông Anh,Số sàn,Máy dầu,"Bán xe Hyundai Starex tải van đời 2015, 6 chỗ, tải 670kg. Xe chính chủ đi từ mới. Không đâm va hay ngập nước, máy ngon, điều hoà mát rét.hồ sơ cầm tay Lh 0928888699 xem xe."
Lexus RX 350 F Sport 2016,2 tỉ 329 triệu,2016,SUV,Nhập khẩu,100.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Lexus thể thao, nội thất cá tính ai mà không mê. ️__. • Lexus RX350 Fsport sản xuất 2016 phom mới, bản xuất M. Ỹ công nghệ full lắm. ️• Màu đen ghế đỏ sang lắm, chạy 10v siêu ngon của xe thương hiệu Lexus. Rá tốt cho các Bác nhanh tay trong tuần."
Land Rover Range Rover AutoBiography 3.0 2014,2 tỉ 588 triệu,2014,SUV,Nhập khẩu,68.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"• Range Rover Autobiography 3.0 up 2020 Đen ghế nâu siêu sang, xe của người sành. __. • Động cơ 3.0 dài 5m bản 5 chỗ đi siêu êm, siêu lành. Bản full Option: Cruise Control, Cảm biến Quanh xe, Cam sườn, nâng hạ Gầm, Hộp Lạnh, Cửa nóc panorama, thống âm thanh vòm Meridian, bật lên Xuống auto, cửa hít.... _______. Mua xe này rẻ hơn 15% so với thị trường."
Porsche Cayenne Coupe 2020,4 tỉ 550 triệu,2020,SUV,Nhập khẩu,57.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Cayenne 2020 - Xanh Ánh Kim ghế Đỏ Đô. __. • Sự Kết Hợp Hoàn Hảo Giữa Sức Mạnh: Cảm giác lái hơn hẳn BMW X5, cá tính sang hơn Méc GLE, dòng xe nhập khẩu chạy 5,7v km siêu ngon. • Hiệu suất vô song, công nghệ tiên phong, chất lượng hàng đầu Bill đồ gần 900tr. __. Liên hệ ngay để sở hữu chiếc SUV thể thao sang trọng bậc nhất!"
Mercedes-Benz E300 AMG V1 2022,2 tỉ 299 triệu,2022,Sedan,Trong nước,26.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Tiểu Méc S màu đen siêu sang lắm E300 sx 2022 siêu ngon lướt 2,6v km. ___. Bản V1 ứng dụng cao Hud kính hiển thị thông tin trên kính lái, phanh khoảng cách.... ______. Màu đen trường xe lắm, sang xịn hẳn. Gia đình đi chăm kĩ đầy đủ lịch sử bảo dưỡng. Trong tuần này Đình Long ưu đãi lớn cho các Bác xem xe trực tiếp."
Mercedes-Benz E300 2022,1 tỉ 999 triệu,2022,Sedan,Trong nước,45.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Mercedes E300 AMG model 2022 giá mới ạ 🥳. Đời 2021 Bản Facelift siêu đẹp, siêu hot. ___. ️• E300 AMG toàn da xịn, cacbon và gỗ quý. Body thể thao lắm công nghệ bản full rồi thích lắm ạ. ️• Màu trắng nội thất kem đẹp hết bài, đi E300 nó êm, rộng rãi, sướng vô cùng."
BMW X6 xDrive40i Msport 2022,3 tỉ 599 triệu,2022,SUV,Nhập khẩu,29.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"BMW X6 M-Sport Dk 10/2023 trắng ghế nâu. ___. • Phom dáng thể thao cá tính, siêu lướt chưa tới 3v km (full lịch sử hãng). • T. Iết kiệm 2,6 tỉ so với mới. Bản M-sport công nghệ full option. Rá siêu tốt cho ae nhanh trong tuần."
Lexus LX 570 2020,3 tỉ 199 triệu,2020,SUV,Nhập khẩu,110.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Quà Chiều: Lexus LX570 chỉ hơn 3 tỉ. ___. • Màu Đen ghế Nâu đẹp lắm, LX570 chạy 11v km vô địch về độ ngon, độ sang, độ sướng ạ. • Một tuyệt phẩm sx 2014 lý lịch đoan trang, rạng ngời, món quà may mắn cho ae nhanh tay."
Lexus RX 300 2023,3 tỉ 180 triệu,2023,SUV,Nhập khẩu,10.000 km,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,"Lexus RX300 Giá 3.180 tỷ. - Quý khách hàng hoàn toàn yên tâm với trải nghiệm xe và những tính năng an toàn khi ngồi trên chiếc xe RX300 hiện đại với Vẻ ngoài mạnh mẽ thu hút mọi ánh nhìn. - Với khối động cơ 2.0 lít turbo tăng áp phun nhiên liệu trực tiếp hiện đại với công suất tối đa lên tới 233 mã lực. - Lexus RX 300 được trang bị khung gầm với cấu trúc cứng vững cùng khả năng hấp thụ va đập của khung xe sẽ bảo vệ quý khách hàng khỏi tác động từ va chạm ở phía trước, phía sau, bên hông và trên nóc. - Hệ thống an toàn tối đa với 10 túi khí, đèn pha tự động thích ứng trên Lexus RX300 hoàn toàn mới. - Hệ thống âm thanh giải trí Lexus Premium Speaker với 12 loa giúp cho quý khách hàng trải nghiệm những cung bậc của cảm xúc. Liên hệ để nhận thông tin chi tiết!"
VinFast LUX SA2.0 Tiêu chuẩn 2019,645 triệu,2019,SUV,Trong nước,90.000 km,Hà Nội,Thanh Oai,Số tự động,Máy xăng,"Lux SA 2.0 tubo 2019 đky và lăn bánh 2021. ️ Xe không có lỗi, không ngập nước, máy số zin(có bảo hành sau bán). Xe đã độ rất nhiều đồ... Đèn bi xenon, cốp mở điện, màn hình to, mâm lốp bản đủ. 🛞 Xe gốc Hà Nội 1 chủ từ mới. Xem xe trực tiếp tại Thanh Oai-Hà Nội."
Mitsubishi Jolie 2.0 MT 2005,117 triệu,2005,SUV,Trong nước,80.000 km,Tp.HCM,Quận 10,Số sàn,Máy xăng,"Cần bán xe Mitsubishi Jolie bánh treo sx-2005 phung xăng điện tử, xe rất đẹp, sơn zin màu vàng cát, máy zin, đồ xi còn 7 màu, Máy nổ im ru Điều hòa 2 dàn trước sau lạnh buốt xe ngay chủ cần tiền bán LH A Đức tiếp người có thiện ý mua xin cảm ơn."
Mitsubishi Attrage 1.2L MT 2019,235 triệu,2019,Sedan,Nhập khẩu,08 km,Hà Nội,Thanh Oai,Số sàn,Máy xăng,"Mitsubishi Attrage 2019, số sàn, nhập khâu, máy 1.2 cực kì tiết kiệm nhiên liệu. Máy zin, gầm bệ chắc, cam kết không đâm đụng, không ngập nước. Xe được bảo dưỡng và làm đẹp kĩ càng. Hồ sơ cầm tay, quý khách hàng mua xe về chỉ việc sang tên và sử dụng. Hotline: 0936618282."
Toyota Corolla Altis 2.0V Sport 2019,625 triệu,2019,Sedan,Trong nước,55.000 km,Tp.HCM,Bình Thạnh,Số tự động,Máy xăng,"Bán TOYOTA ALTIS 2.0V SPORT bản Full cao cấp nhất. Xe số tự động, xe 5 chỗ. Xe đi 55.000km. Xe nguyên zin toàn bộ. Xe chuẩn đẹp zin. Sx 2019 đăng ký 2/2020. Xe 1 chủ mua mới. Xe Full Option Ghế chỉnh điện, ghế da, gương gập điện, chế độ lái Sport thể thao, bộ body kit, DVD cảm ứng 7icnh, lẫy số vô lăng, cam hành trình, cam lùi đầy đủ... Anh chị mua xài an tâm. Bán bao ae thợ giỏi đến kiểm tra téch xe thoải mái."
Isuzu mu-X 1.9 PRESTIGE 4X2 AT 2019,679 triệu,2019,SUV,Nhập khẩu,65.000 km,Tp.HCM,Bình Thạnh,Số tự động,Máy dầu,Bán isuzu MUX 1.9L AT bản cao cấp. MU-X Prestige 1.9 4X2 AT. Máy dầu đi 6lít dầu/100km. Nhập thái cuối 2019 đăng ký 2020. Xe Đi 65.000km chuẩn 100%.
Toyota Vios 1.5 E CVT 2019,385 triệu,2019,Sedan,Trong nước,63 km,Tp.HCM,Quận 10,Số tự động,Máy xăng,"Cần bán Toyota vios đời 2019 bản CVT số tự động, xe zin từ A>Z rất đẹp. Một chủ Tư nhân đứng tên ký công chứng nhanh lẹ - cam kết xe nguyên zin ngay chủ cần tiền bán LH. 0915107070 A Đức tiếp người có thiện ý mua xin cảm ơn."
Ford Ranger XLT 2.2 4X4 MT 2016,415 triệu,2016,Bán Tải,Nhập khẩu,80.000 km,Hà Nội,Đông Anh,Số sàn,Máy dầu,"Bán Ford Ranger XLT đời 2016,2 cầu, số sàn, máy dầu, đây là bản cao cấp chỉ xếp sau widtrac, còn hơn hẳn XLS và XL. Xe tư nhân chính chủ, biển Sài Gòn đã rút hồ sơ, chủ xe đi giữ gìn chưa một lỗi nhỏ. LH 0928888699 để biết thêm"
Ford Ranger XLS 2.2 4x2 AT 2020,550 triệu,2020,Bán Tải,Nhập khẩu,50.000 km,Hà Nội,Nam Từ Liêm,Số tự động,Máy dầu,"Ford Ranger Xls Sx 2020 Fom 2021 AT nhập khẩu đẹp xuất sắc. OD 5 vạn. Gía 550 triệu. Bank 70%. Sang tên toàn quốc. Hoàng Anh. 0329538888. Mua Ô Tô Cũ giá cạnh tranh, ưu tiên Xe Đẹp, Chính Chủ."
Hyundai Accent 1.4 AT 2021,415 triệu,2021,Sedan,Trong nước,30.000 km,Đắk Lắk,Buôn Đôn,Số tự động,Máy xăng,"Cần bán hyundai accent 2021 at đẹp xuất xắc. Giá bằng chiếc i10 mà được đi phân khúc B. 1 chủ từ đầu, chuẩn undo 32.000 full ls hãng. Xe còn bảo hành hãng 2026. Xe đẹp zin từ a-z, bao check test thoải mái. Ngoại thất nội thất đẹp như mới, 4 lốp zin theo xe. Phụ kiện và tính năng. + áo trùm, bọc vô lăng, film full xe, bảo hiểm thân vỏ, bình chữa cháy, cam hành trình. + mở khoá 1 chạm, màn hình avn zin chuẩn có cam lùi, cảm biến va chạm sau, mở cốp từ xa.... Giá bán công khai 415tr bao rút hs gốc xem xe thương lượng. Lh 0868888419 xem xe buôn mê thuột."
Ford EcoSport Titanium 1.5L AT 2019,450 triệu,2019,MPV,Trong nước,76.000 km,Bình Dương,Thuận An,Số tự động,Máy xăng,"Ford Ecosport Titanium 1.5AT. Sản xuất: 2019. Odo: 76.000 KM. Giá: 450 TR. Trang bị: Cửa sổ trời, màn hình android kết nối apple carplay và auto android, tiết kiệm nhiên liệu, xi nhan trên gương, 4 thắng đĩa, tự động clock cửa, .... C. A. M K. Ế. T. Bao không ngập nước, không đâm đụng. Bao rút hồ sơ gốc. Hỗ trợ sang tên. Bao quay đầu 1 năm 10% theo giá thị trường. Có dán tem bảo hành ở các vị trí xung yếu. Hỗ trợ vay ngân hàng lãi suất ưu đãi. Bảo hành 6 tháng hoặc 10.000km động cơ, máy móc. Bảo dưỡng thay nhớt một lần miễn phí trước khi giao xe. Hỗ trợ test hãng có văn bản."
Kia Sedona 2.2 Luxury 2021,890 triệu,2021,Van/Minivan,Trong nước,80.000 km,Tp.HCM,Quận 2,Số tự động,Máy dầu,"- Bán xe Kia Sedona Luxury 2021 DATH, số tự động, full dầu, màu nâu. - Odo chuẩn 80.000 km, bao vào hãng kiểm tra, biển số TP HCM 51H. - Xe trang bị full option các tính năng cao cấp. - Cam kết 100% không tai nạn, đâm đụng, ngập nước, chuẩn km. - Xem xe bao thầy thợ kiểm tra và test hãng toàn quốc. - Xe zin nguyên bản không lỗi nhỏ, gầm sáng đẹp. - Hỗ trợ vay ngân hàng. - Hỗ trợ sang tên. - Hỗ trợ giao xe tận nhà. - Pháp lý sang tên chuẩn. - Bảo hành khi mua. - Bên em bán có văn bản cam kết chất lượng xe. - Giá: 890 triệu. - Tell: 0705.555.500 gặp Đức, quận 2, TP HCM."
Suzuki Super Carry Truck Truck 2022,218 triệu,2022,Bán Tải,Trong nước,12 km,Tp.HCM,Quận 10,Số sàn,Máy xăng,"Cần Bán Suzuki tải van sản xuất 2022, đăng ký cuối 2023, màu trắng, được phép chạy trong giờ cắm 24/24. Đã được lắp thêm máy lạnh điều hoà, vách ngăn, camera Cần Bán Suzuki tải van sản xuất 2022, đăng ký cuối 2023, màu trắng, được phép chạy trong giờ cắm 24/24. Đã được lắp thêm máy lạnh điều hoà, vách ngăn, camera hành trình đủ đồ... - Xe zin rất đẹp, 2 cửa lùa hai bên, xếp dỡ hàng hóa vô cùng tiện lợi. Cabin tiện nghi tạo sự thoải mái cho người sử dụng. Xe ngay chủ cần tiền bán LH A Đức tiếp người có thiện ý mua xin cảm ơn. Hành trình đủ đồ... - Xe zin rất đẹp, 2 cửa lùa hai bên, xếp dỡ hàng hóa vô cùng tiện lợi. Cabin tiện nghi tạo sự thoải mái cho người sử dụng. Xe ngay chủ cần tiền bán LH 0915107070 A Đức tiếp người có thiện ý mua xin cảm ơn."
Hyundai Santa Fe SLX 2009,345 triệu,2009,SUV,Nhập khẩu,160.000 km,Hà Nội,Hoàng Mai,Số tự động,Máy dầu,"Bán xe Hyundai Santafe 2.0 SLX 2009 nhập khẩu nội địa Hàn Quốc, bản đủ 12 túi khí, hộp lạnh, nâng hạ chân ga... Là bản nội địa Hàn Quốc nên xe được trang bị động cơ Diesel 2.0 VGT, kết hợp với hộp số tự động, cùng rất nhiều option như: Nội thất da cao cấp, ghế điện, nhớ ghế 2 vị trí, sấy ghế cả hàng ghế trước và hàng ghế sau, cửa nóc, điều hoà tự động 3 vùng, nâng hạ chân ga, gương kính chỉnh điện, gập điện, tự động điều chỉnh mặt gương khi lùi, tích hợp xi nhan trên gương, cảm biến lùi, hộp lạnh, đèn pha bi xenon, rửa đèn pha, lazang đúc R 18, giá nóc, máy móc nguyên bản, khỏe, êm không khói Turbo nguyên, 12 túi khí... Vui lòng liên hệ: 0905608883 để biết thêm chi tiết!"
BMW 420i Gran Coupe 2018,1 tỉ 119 triệu,2018,Sedan,Nhập khẩu,30.000 km,Tp.HCM,Quận 7,Số tự động,Máy xăng,"BMW 420i GRAN COUPE. - Sản xuất: 2018. - Đăng ký: 2021. - Lăn bánh: 30.000 km. GIÁ THAM KHẢO 1. XXX. ———————————-. ✧ THE GIOI XE DUC. ✧ SHOWROOM | Số 25 đường số 16, khu đô thị Midtown, Phú Mỹ Hưng, Quận 7, TP. HCM. ✧ WEBSITE | https://bonbanh.com/salon/thegioixeduc-saigon/. ✧ HOTLINE | 07979. 68. 422. #thegioixeduc #muabanoto #xemoi #daquasudung #bmw #420i."
Mazda BT-50 2015,395 triệu,2015,Bán Tải,Nhập khẩu,118.000 km,Hà Nội,Hà Đông,Số tự động,Máy xăng,"Mazda BT-50 2015. Bán Mazda BT-50 4x4 AT 2015 tại Hà Nội. Sỹ Mai Auto cam kết: - Xe đẹp, giá tốt nhất thị trường. ⁃ Xe không đâm đụng. ⁃ Không ngập nước. - Hỗ trợ trả góp tối đa(Tùy dòng xe, đời xe). Bảo dưỡng đầy đủ, giao ngay giá tốt. Liên hệ hotline Mr. Sỹ 0769 999 555 (call/Zalo) để được hỗ trợ và nhận xe giá tốt nhất."
Porsche Cayenne V6 3.0 2013,1 tỉ 080 triệu,2013,SUV,Nhập khẩu,120.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Cayenne sx 2013, đăng ký 2014 xe rất đẹp, máy móc zin, thân vỏ nguyên bản. Xe chạy cực đầm và chăc. Xe trang bị ghế da cao cấp, cửa sổ trời....."
Hyundai Santa Fe 2.4L Xăng Cao cấp 2020,839 triệu,2020,SUV,Trong nước,70.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"BÁN Santafe 2.4 Pre Full xăng màu trắng, Sản xuất 2020, bản cao cấp nhất, biển Hà Nội full bảo dưỡng hãng HYHNDAI. Lăn bánh 7 vạn km. Cam kết xe không đâm đụng, không ngập nước, máy móc nguyên bản. XE ĐẸP XUẤT SẮC! Có hỗ trợ thủ tục trả góp ngân hàng. Có bao test check hãng. Giá bán 839 triệu."
Hyundai Creta 1.5L Đặc biệt 2023,638 triệu,2023,SUV,Trong nước,6.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Hyundai Creta Bản đặc biệt sản xuất 2023. Odo 6000km. Giá 638 triệu. Bao rút hồ sơ. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ: Hồng Đại - 0929568686."
Mercedes-Benz S450 4Matic Luxury 2022,4 tỉ 800 triệu,2022,Sedan,Nhập khẩu,3.850 km,Cần Thơ,Ninh Kiều,Số tự động,Máy xăng,S 450 Luxury - Xe lướt chính hãng. Bên e còn duy nhất 01 xe giá tốt. - Màu đen nội thất đen. - Còn bảo hành dài hạn. - Xuất hóa đơn cao. - Quyền lợi như xe mới.
MG 5 STD 2022,399 triệu,2022,Sedan,Trong nước,22.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"MG 5 bản số tự động sản xuất 2022 - màu đen 1 chủ từ đầu odo 2.2v km chuẩn. Xe cực đẹp và mới, mọi thứ zin nguyên bản, xe chắc chắn cảm giác lái tốt, kiểu dáng đẹp. Giá chào 399 triệu."
Ford EcoSport Titanium 1.5L AT 2019,433 triệu,2019,Crossover,Trong nước,60.000 km,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,"Bán xe Ford EcoSport 1.5 Titanium sản xuất năm 2019 đăng ký biển Hà Nội, 1 chủ từ đầu xe mới lăn bánh hơn 6 vạn km. Xe được trang bị động cơ xăng 1.5 L hộp số tự động, là bản Titanium full option nội thất da, khoá thông minh Stas/stop. Cửa nóc, điều hoà tự động, màn hình, camera lùi, cảm biến lùi.... Vui lòng liên hệ: 0905608883 để biết thêm chi tiết!"
Honda City 1.5 TOP CVT 2020,435 triệu,2020,Sedan,Trong nước,60.000 km,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,"Bán xe Honda City 1.5 TOP sản xuất năm 2020, màu đen, xe đăng ký tên tư nhân, 1 chủ từ mới. Chạy hơn 6 vạn km. Xe được trang bị động cơ xăng với dung tích 1.5 L kết hợp với hộp số CVT (tự động) Là bản Top Xe Full Option: Nội thất da, khóa thông minh Star/Stop, điều hòa tự động, túi khí an toàn quanh xe, vô lăng bọc da, tích hợp điều khiển, sang số thể thao trên vô lăng, kiểm soát hành trình, ga tự động (Cruicontro), gương kính chỉnh điện, gập điện, tích hợp xi nhan trên gương, phanh ABS, hệ thống giải trí có sẵn màn hình, camera lùi, cảm biến lùi, kết nối ngoại vi,... Cùng nhiều tiện ích khác. Ô tô 360. Vui lòng liên hệ: 0905608883 để biết thêm chi tiết!"
Toyota Vios 1.5 E CVT 2021,428 triệu,2021,Sedan,Trong nước,50.000 km,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,"Bán xe Toyota vios E sản xuất năm 2021, màu đỏ, đăng ký tên tư nhân, lăn bánh hơn 5 vạn km. Xe cực mới, lốp zin theo xe, lốp sơ cua chưa hạ. Xe được trang bị đông cơ xăng dual VVTi 1.5L hộp số tự động. Xe trang bị đầy đủ nội thất ghế da, lazang đúc vô lăng bọc da, màn hình xịn, camera lùi, xi nhan trên gương, gương gập điện, đèn pha bi xenon, phanh ABS, chống trơn trượt, túi khí.... Xe đẹp như mới cam kết không chạy dịch vụ. Vui lòng liên hệ: 0905608883 để biết thêm chi tiết!"
Honda Brio RS 2019,355 triệu,2019,Hatchback,Trong nước,50.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Honda Brio bản RS sx 2019 biển Hà Nội. Xe đẹp 1 chủ từ đầu odo 5v chuẩn, 4 lốp zin theo xe. Nội thất cực mới, chủ xe đi giữ gìn. Cam kết chất lượng. Nhỏ gọn mà đi rất chắc chắn, tiết kiệm nhiên liệu. Giá chào 355 triệu."
Hyundai Accent 1.4 MT 2019,319 triệu,2019,Sedan,Trong nước,65.000 km,Hà Nội,Cầu Giấy,Số sàn,Máy xăng,"Hyundai Accent 1.4 MT Base 2019. Một trong những mẫu xe có doanh số cao hàng đầu trong phân khúc sedan hạng B. Xe chạy hơn 6 vạn zin. Máy số zin. Gầm bệ chắc chắn. Sơn vỏ mỏng tang cực đẹp. Hiện tại không có chiếc thứ 2. Full lịch sử bảo dưỡng hãng. - --------------------------------. Cam kết không đâm đụng, ngập nước, động cơ nguyên bản. Hỗ trợ thủ tục vay ngân hàng. Hỗ trợ thủ tục pháp lý sang tên, di chuyển. Bao check, test toàn quốc. Tư vấn 24/7 mọi vấn đề về xe."
Ford Ranger Wildtrak 2.0L 4x2 AT 2019,570 triệu,2019,Bán Tải,Nhập khẩu,70.000 km,Hà Nội,Bắc Từ Liêm,Số tự động,Máy dầu,Xe đẹp lại mua: Ford wildtrak 2.0 bi turbo 2019. Xe ko lỗi lầm gì. Chạy 7 vạn.
Toyota Hilux 2.4E 4×2 AT 2021,665 triệu,2021,Bán Tải,Nhập khẩu,42.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy dầu,"Toyota Hilux 2.4E 4x2 AT model 2021. • Xe 1 chủ từ mới, xe nhập khẩu chính hãng từ Thái Lan. • Ông vua bán tải, body đầy nam tính và siêu bền bỉ. • Xe chạy êm ái chuẩn hơn #4vạn, điện nước đầy đủ. - --------------------------------. Cam kết không đâm đụng, ngập nước, động cơ nguyên bản. Hỗ trợ thủ tục vay ngân hàng. Hỗ trợ thủ tục pháp lý sang tên, di chuyển. Bao check, test toàn quốc. Tư vấn 24/7 mọi vấn đề về xe."
Hyundai Tucson 2.0 Tiêu chuẩn 2019,629 triệu,2019,SUV,Trong nước,92.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Hyundai Tucson 2. 0AT SX 2019. Xe biển số Hà Nội. Máy xăng, số tự động. Xe màu đen nội thất Kem bọc da. Odo 9 vạn, lịch sử bảo dưỡng đầy đủ. Với Huyndai Tucson 2020, bạn sẽ có được một phương tiện đi lại linh hoạt, đa năng cho cả đô thị lẫn các chuyến đi xa với không gian rộng rãi, trang thiết bị hào phóng để thoải mái sử dụng và tận hưởng cuộc sống. - --------------------------------. Cam kết không đâm đụng, ngập nước, động cơ nguyên bản. Hỗ trợ thủ tục vay ngân hàng. Hỗ trợ thủ tục pháp lý sang tên, di chuyển. Bao check, test toàn quốc. Tư vấn 24/7 mọi vấn đề về xe."
Kia Sonet 1.5 Luxury 2022,539 triệu,2022,SUV,Trong nước,5.100 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Kia Sonet Luxury 1.5 AT sx 2022. ️Chạy được 5.100 km thôi, full ls bảo dưỡng chính hãng. ️ Kia Sonet 2022 là mẫu xe SUV cỡ nhỏ thuộc phân khúc A+. ️Trang bị: ỊGhế bọc da cao cấp, Vô lăng bọc da, tích hợp các phím điều khiển chức năng, dàn âm thanh 6 loa tiêu chuẩn... - -----. Cam kết không đâm đụng, ngập nước, động cơ nguyên bản. Hỗ trợ thủ tục vay ngân hàng. Hỗ trợ thủ tục pháp lý sang tên, di chuyển. Bao check, test toàn quốc. Tư vấn 24/7 mọi vấn đề về xe."
Chevrolet Cruze LT 2011,189 triệu,2011,Sedan,Nhập khẩu,130.000 km,Hà Nội,Hoàng Mai,Số sàn,Máy xăng,"Bán xe Chevrolet Cruze LT sản xuất năm 2011, nhập khẩu, tên tư nhân, biển Hà Nội, 1 chủ từ mới. Xe được trang bị đầy đủ option: Cửa nóc, lazang đúc, đèn gầm nguyên bản.... Liên hệ: 0905608883."
Hyundai Elantra 1.6 AT Đặc biệt 2021,540 triệu,2021,Sedan,Trong nước,16.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Hyundai elantra 2.0 sx 2021 bản đặc biệt. Xe cực đẹp chạy đúng 1.6v cam kết odo zin ko tua quay. Bản đặc biệt với ghế điện, cửa nóc, đèn bi... đầy đủ. Xe đẹp vẫn thơm mùi ghế mới, sơn zin cả xe. Chất lượng đảm bảo tuyệt đối. Giá chào 540 triệu."
Toyota Yaris 1.5G 2017,428 triệu,2017,Hatchback,Nhập khẩu,79.000 km,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,"Bán xe Toyota Yaris G nhập khẩu sản xuất năm 2017 đăng ký tên tư nhân, mới chạy hơn 7 vạn vạn km. Xe rất đẹp. Xe được trang bị động cơ xăng Dual wwti 1.5L, hộp số tự động, là bản G nên xe được trang bị full đồ như: Nội thất da, lazang đúc, vô lăng da tích hợp các phím điều khiển, khóa thông minh đề nổ (Stas/stop) điều hòa tự động, màn hình Android, camera lùi, cảm biến lùi, hệ thống an toàn phanh ABS, phanh đĩa 4 bánh, túi khí an toàn... Cùng nhiều tiện ích khác. Ô tô 360. Vui lòng liên hệ: 0905608883 để biết thêm chi tiết!"
Hyundai Santa Fe 2.4L Xăng Đặc biệt 2018,685 triệu,2018,SUV,Trong nước,70.000 km,Hà Nội,Bắc Từ Liêm,Số tự động,Máy xăng,"Santafe 2018 bản full xăng 2 cầu. Xe chạy chuẩn 9v km. Máy, hộp số nguyên bản. Cam kết không đâm va, ngập nước."
VinFast Fadil Tiêu Chuẩn 2021,315 triệu,2021,Hatchback,Trong nước,17.000 km,Hà Nội,Bắc Từ Liêm,Số tự động,Máy xăng,"Vin Fadil 2021 chạy 1v7 km bản base đã lên màn hình, cam lùi. Bảo hành máy 3 tháng. Xem xe 325 phạm văn đồng, hà nội."
Toyota Wigo 1.2 G AT 2018,285 triệu,2018,Hatchback,Nhập khẩu,70.000 km,Hà Nội,Bắc Từ Liêm,Số tự động,Máy xăng,"Toyota Wigo sx 2018 nhập Indo chạy 7v. Xe đẹp giá tốt. Không đâm va, ngập nước. Bảo hành máy 3 tháng."
