car_name,car_price,year,style,madein,kilometer,province,district,gearbox,fuel,descri
Hyundai Accent 1.4 AT Đặc biệt 2021,440000000,2021,Sedan,Trong nước,57000,Bình Định,Quy Nhơn,Số tự động,Máy xăng,Trimap’s Đang có bán Hyundai Accenội thất 1.4AT phiên bản đặc biệt. Sx 2021 xe rất mới. 1 chủ mua mới từ đầu.
Suzuki Ertiga Hybrid Ertiga AT 2022,449000000,2022,MPV,Nhập khẩu,57000,Tp.HCM,Thủ Đức,Số sàn,Hybrid,"ĐÃ TIẾT KIỆM CÀNG TIẾT KIỆM HƠN. *Suzuki Ertiga Hybrid 2022*. Có sẵn: Ghế da, Cam hành trình, Lót sàn, Phim cách nhiệt, Điều hoà tự động,.. Sản xuất: 2022. Số Sàn. Động cơ xăng 1.5. Lăn bánh: 58.000 chuẩn xịn. Giao lưu trao đổi xe bù trừ. Tuyển ctv sale online. Thu xe tận nhà giá cao. Hơn 400 xíu. Xe không cấn đụng, không ngập nước. Cam kết chất lượng bằng văn bản. Pháp Lý rõ ràng minh bạch. Khuyến khích khách hàng xem xe thực tế và check test kiểm tra bên thứ 3. . Địa chỉ: Salon Tân Hùng Phát 579 Quốc Lộ 13, Hiệp Bình Phước, Thành Phố Thủ Đức. Hotline/Zalo tư vấn trực tiếp 0769915617."
Mercedes-Benz GLC 300 4Matic 2024,2599000000,2024,SUV,Trong nước,2000,Tp.HCM,Quận 7,Số tự động,Máy xăng,"Mercedes Phú Mỹ Hưng cần bán GLC300 4Matic ALL NEW, Model 2024, form thể thao mới nhất. Mới zin nhưng Chỉ 2% thuế thay vì 10% như xe chưa biển số. Xe thể thao SUV bán chạy nhất VN với thiết kế thay đổi toàn diện cùng nhiều tính năng mới như: + Chế độ OffRoad và Nắp capo trong suốt. + Đèn Digital Light, 15 Loa Burmester 710Watt. + Động cơ MildHydrid 258 Hp. Xuất hóa đơn cam kết đủ bảo hành 03 năm, không giới hạn Km. Hỗ trợ vay ngân hàng lãi suất tốt nhất."
Mercedes-Benz GLC 300 4Matic 2024,2620000000,2024,SUV,Trong nước,30,Tp.HCM,Quận 7,Số tự động,Máy xăng,"Mercedes Phú Mỹ Hưng cần bán GLC300 4Matic ALL NEW, Model 2024, form thể thao mới nhất vừa ra mắt. Xe thể thao SUV bán chạy nhất VN với thiết kế thay đổi toàn diện cùng nhiều tính năng mới như: + Chế độ OffRoad và Nắp capo trong suốt + Đèn Digital Light, 15 Loa Burmester 710Watt + Động cơ MildHydrid 258 Hp Xuất hóa đơn cam kết đủ bảo hành 03 năm, không giới hạn Km. Hỗ trợ vay ngân hàng lãi suất tốt nhất"
Mercedes-Benz C200 Exclusive 2021,1259000000,2021,Sedan,Trong nước,13000,Tp.HCM,Gò Vấp,Số tự động,Máy xăng,"Em cần bán C200 Exclusive Trắng nội thất Kem, sổ 2021, đi 13,000km (sai tặng cả xe), xem xe trực tiếp tại showroom em. Giá ib Fb hoặc Z. Lo 0941800199."
Mercedes-Benz E200 Exclusive 2021,1759000000,2021,Sedan,Trong nước,12000,Tp.HCM,Quận 7,Số tự động,Máy xăng,"Cần bán lại E200, Phiên bản Exclusive, model 2022, siêu cọp đi lướt chỉ 12.000 Km, giữ rất kỹ. Xe trang bị động cơ 2.0L cùng thiết kế mới và hoàn toàn hiện đại. Xe cam kết không đâm đụng, ngập nước, tua đồng hồ. Ngân hàng hỗ trợ tài chính với lãi suất ưu đãi. Tặng gói Spa chăm sóc xe + vận chuyển toàn quốc."
Hyundai Tucson 2.0 Đặc biệt 2019,685000000,2019,SUV,Trong nước,70000,Hà Nội,Long Biên,Số tự động,Máy xăng,Mẫu xe Crossover chưa khi nào hết hót đến từ thương hiệu Huyndai. Huyndai Tucson 2.0ATH sx 2019 model 2020 siêu Chất. Odo: 70.000 km (Full lịch sử bảo dưỡng chính hãng). Phiên bản đặc biệt máy xăng. Chủ xe giữ gìn hơn cả chăm em bé luôn ấy (tổng thể nội thất ngoại thất ko thể chê dc điểm gì luôn). Đảm bảo Ace xem xe là ưng Check test theo yêu cầu tại bất cứ đâu. Vui lòng liên hệ để biết thêm thông tin chi tiết và trải nghiệm cảm nhận thực tế.
Hyundai Creta 1.5L Đặc biệt 2023,626000000,2023,SUV,Trong nước,9580,Tp.HCM,Tân Phú,Số tự động,Máy xăng,"Hyundai creta đặt biệt 2023 odo: 9580km giá 626tr. Hotline: 0898433815. Cam kết Không đâm đụng, Ngập nước. Động cơ, hộp số nguyên bản. Bảo hành 6 tháng cho xe bán ra. Bao test hãng, Giao xe toàn Quốc. Xem xe tại: Automall Carpla Tân Phú 314 Lũy Bán Bích, P. Hòa Thạnh, Q. Tân Phú, TPHCM."
Mercedes-Benz GLC 200 4Matic 2020,1538000000,2020,SUV,Trong nước,36,Tp.HCM,Quận 7,Số tự động,Máy xăng,"Cần bán Mercedes GLC200 4Matic, model 2021. Chỉ 01 chủ duy nhất, chạy giữ kỹ. Xe còn mới keng. Trang bị đầy đủ Camera 360, Loa Burmester.. Là dòng SUV sang trọng bán chạy nhất VN. Cam kết không đâm đụng, ngập nước, tua đồng hồ. Ngân hàng hỗ trợ tài chính với lãi suất ưu đãi."
Toyota Camry 2.4G 2009,306000000,2009,Sedan,Trong nước,100000,Hà Nội,Đông Anh,Số tự động,Máy xăng,"Camry 2.4G sx 2009, chạy 10 vạn ko 1 lỗi nhỏ. Xe còn rất mới. Giá bán: 306Tr. Cam kết. Máy móc nguyên zin. Thân vỏ không tai nạn, không ngập nước. Thủ tục giấy tờ pháp lý nhanh gọn. ☎ ĐT/ Zalo: 0977 313 285 / 0943 972 333. Xem xe tại Đông Anh Hà Nội."
Toyota Corolla Altis 2.0V Sport 2019,599000000,2019,Sedan,Trong nước,55000,Tp.HCM,Bình Thạnh,Số tự động,Máy xăng,"Bán TOYOTA ALTIS 2.0V SPORT bản Full cao cấp nhất. Xe số tự động, xe 5 chỗ. Xe đi 55.000km. Xe nguyên zin toàn bộ. Xe chuẩn đẹp zin. Sx 2019 đăng ký 2/2020. Xe 1 chủ mua mới. Xe Full Option Ghế chỉnh điện, ghế da, gương gập điện, chế độ lái Sport thể thao, bộ body kit, DVD cảm ứng 7icnh, lẫy số vô lăng, cam hành trình, cam lùi đầy đủ.. Anh chị mua xài an tâm. Bán bao ae thợ giỏi đến kiểm tra téch xe thoải mái."
Isuzu mu-X 1.9 PRESTIGE 4X2 AT 2019,679000000,2019,SUV,Nhập khẩu,65000,Tp.HCM,Bình Thạnh,Số tự động,Máy dầu,Bán isuzu MUX 1.9L AT bản cao cấp. MUX Prestige 1.9 4X2 AT. Máy dầu đi 6lít dầu/100km. Nhập thái cuối 2019 đăng ký 2020. Xe Đi 65.000km chuẩn 100%.
Toyota Vios 1.5 G CVT 2017,375000000,2017,Sedan,Trong nước,110000,Hải Phòng,An Lão,Số tự động,Máy xăng,"Bán xe toyota vios G 2017 màu vàng cát. Xe tư nhân, bồ đội sử dụng giữ gìn. Xe gia đình ko dịch vụ. Thân vỏ máy số nguyên din. Xe đi có 11 vạn, gầm bệ chắc nịch. Hỗ trợ làm trả góp 50% giá trị xe. Ae quan tâm alo 0964674331."
Mitsubishi Xpander AT Premium 2022,579000000,2022,MPV,Nhập khẩu,56000,Hải Phòng,Ngô Quyền,Số tự động,Máy xăng,"Xpander 1.5AT Premium sx 2022. Nhập khẩu Indo. Một chủ không dịch vụ. Cam kết: Không lỗi, không đâm đụng, ngập nước. Full lịch sử hãng. Bao check test thoải mái. Hỗ trợ trả góp 70% giá xe. Xem xe tại 3839 Lê Thánh Tông Ngô Quyền Hải Phòng."
Ford EcoSport Titanium 1.5L AT 2019,450000000,2019,SUV,Trong nước,66000,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Ford Ecosport Titanium 2019. Động cơ 1.5 số tự động trắng “Ngọc Trinh”. Ful lịch sử hãng. Odo 6,6 vạn km zin. Bảo hiểm thân vỏ dài. —. Xe được trang bị nhiều options và tiện nghi như: Chìa khóa thông minh nút bấm khởi động Start/stop. Điều khiển âm thanh trên vô lăng, kết nối điện thoại không dây Bluetooth, aux.. Cửa sổ trời. Ghập, mở gương tự động. Hệ thống cân bằng điện tử ESP. Hệ thống khởi hành ngang dốc HLA... ️ Cam kết 3 không: Không tai nạn đâm đụng. Không ngập nước thủy kích. Không tranh chấp, cầm cố. Pháp lý chuẩn. Bao check test bất kỳ Gara uy tín nào. —. Giá 4xy triệu thương lượng thoải mái! ❤ Ae có thiện chí cứ alo là mua được xe. Mr Hưng. P/s: Xe đẹp tắt điện luôn ae nhé!"
BMW Z4 sDrive30i 2021,2459000000,2021,Convertible,Nhập khẩu,15555,Tp.HCM,Quận 7,Số tự động,Máy xăng,"Vẫn là em “Trân mùi” hot nhất #thegioixeduc hiện tại. BMW Z4 convertible. Sx 2021 đk 09/2022. Lăn bánh 15.555km. Màu xanh (wrap hồng)/ nội thất đen. 2.459 là xong ạ. Bên em còn 2 mã màu cùng đời Trắng/ nội thất đỏ và Đỏ/ nội thất đen rất nhiều lựa chọn. Xe cam kết 3 không (đâm đụng, ngập nước, tua Km). Hỗ trợ bank 5070% giá trị xe. Uy tín tạo nên Thương hiệu và Niềm tin. ✧ Website."
Maserati Grecale GT 2022,4179000000,2022,SUV,Nhập khẩu,15555,Tp.HCM,Quận 7,Số tự động,Máy xăng,"MASERATI GRECALE GT. Sản xuất: 2022. Lăn bánh: 15.555 km. GIÁ THAM KHẢO CHỈ 4. XXX. ———————————. ✧ THE GIOI XE DUC. ✧ SHOWROOM | Số 25 đường số 16, khu đô thị Midtown, Phú Mỹ Hưng, Quận 7, TP. HCM. ✧ WEBSITE | https://bonbanh.com/salon/thegioixeducsaigon/. ✧ HOTLINE | 07979. 68. 422. #thegioixeduc #muabanoto #xemoi #daquasudung #maserati #gracale."
Lexus IS 300 Luxury 2021,1999000000,2021,Sedan,Nhập khẩu,23000,Tp.HCM,Quận 7,Số tự động,Máy xăng,LEXUS IS300 LUXURY.
Kia Sorento 2.4 GATH Premium 2017,480000000,2017,SUV,Trong nước,80000,Tp.HCM,Quận 2,Số tự động,Máy xăng,"Bán xe Kia Sorenội thấto 2016 GATH, số tự động, máy xăng Full, màu trắng. Odo 80.000 km. Xe trang bị full option các tính năng cao cấp. Cam kết 100% không đâm đụng, không ngập nước. Xem xe bao thầy thợ kiểm tra và test hãng toàn quốc. Hỗ trợ sang tên. Hỗ trợ giao xe tận nhà. Pháp lý sang tên chuẩn. Bảo hành khi mua. Bên em bán có văn bản cam kết chất lượng xe. Giá: 480 triệu. LH: 0705.555.500 gặp Đức, quận 2, TP HCM."
VinFast LUX A2.0 Cao cấp 2020,645000000,2020,Sedan,Trong nước,20000,Tp.HCM,Quận 2,Số tự động,Máy xăng,"Bán xe Vinfast Lux A Premium 2020, số tự động 2.0 Turbo, màu bạc. Odo chuẩn 20.000 km, bao vào hãng kiểm tra, biển số TP HCM. Xe trang bị: Camera hành trình, Dán fiml 3M, Cruise Conội thấtrol, thảm sàn.. Cam kết 100% không đâm đụng, không ngập nước, chuẩn đồng hồ km. Xem xe bao thầy thợ kiểm tra và test hãng toàn quốc, check test theo yêu cầu. Xe nguyên zin không lỗi nhỏ, keo chỉ số máy nguyên zin, gầm sáng đẹp. Hỗ trợ vay ngân hàng. Hỗ trợ sang tên. Hỗ trợ giao xe toàn quốc. Pháp lý sang tên chuẩn. Bảo hành khi mua. Bên em bán có văn bản cam kết chất lượng xe. Có nhận trao đổi các dòng xe khác. Giá: 645 triệu. LH: 0705.555.500 gặp Đức, quận 2, TP HCM."
Mitsubishi Xpander 1.5 AT 2021,535000000,2021,SUV,Nhập khẩu,0,Cầu Giấy,,Máy xăng,,"MITSUBISHI XPANDER 1.5 AT Bản đủ. Sản xuất 2021. Đăng ký tên cá nhân, một chủ từ mới. Tình trạng xe: ĐẸP XUẤT SẮC, ODO 5 VẠN KM. Giá: Nhú 5đ. Hotline 24/7: 0973.700.587 Xem xe tại Cầu Giấy Hà Nội."
Toyota Highlander 2020,3599000000,2020,SUV,Nhập khẩu,33000,Hà Nội,Ba Đình,Số tự động,Hybrid,Bán xe Toyota Highlander Limited Hybrid 2.5 AWD xe nhập Mỹ bản full option. xe bảo dưỡng 100% tại hãng
Mercedes-Benz GLC 200 2019,1069000000,2019,SUV,Trong nước,60000,Hà Nội,Ba Đình,Số tự động,Máy xăng,"Mercedes Benz GLC200. (Sản xuất 2019 / Odo: 60.000 kilomet). Màu đen nội thất đen sang trọng. Xe trang bị full kịch đồ chơi, Body G63, dàn lạnh Boeing. Bảo dưỡng đều Mercedes Việt Nam lịch sử rõ ràng. Quý khách hàng quan tâm vui lòng liên hệ trực tiếp. Trân trọng cảm ơn đã xem tin."
Audi Q5 45 TFSI quattro 2018,1279000000,2018,SUV,Nhập khẩu,38000,Hà Nội,Ba Đình,Số tự động,Máy xăng,"Sản xuất 2018 Đăng ký. Xe mới lăn bánh có 38.000km. Màu đen nội thất Nâu. Full Option: 19 loa B&O, keyless go, đá cốp, Động cơ 2.0 công nghệ quattro 252 mã lực, Bodykit sport, Đèn full led, Ghế thể thao.. Cam kết về chất lượng, check test xe theo yêu cầu. Bank hỗ trợ 70%. Liên hệ để biết thêm chi tiết!"
Daewoo Gentra 2009,95000000,2009,Sedan,Trong nước,190000,Tp.HCM,Thủ Đức,Số sàn,Máy xăng,"Genội thấtra 2009 chính chủ, Máy gầm chất, Sơn si đẹp, chuẩn xe gd k khoan đục taxi, trang bị màn hình cam lùi đầy đủ, máy lạnh như đà lạt, vỏ lốp dày, đăng kiểm tới T6/2025. Giá chỉ 9x bao ký bao rút hồ sơ. Liên hệ 0906 899 686 thương lượng ạ🥰🥰."
Chevrolet Aveo MT 2017,182000000,2017,Sedan,Trong nước,100000,Tp.HCM,Thủ Đức,Số sàn,Máy xăng,"Cheverlet Aveo đời 2017 MT, màu đỏ tươi tắn. Keo chỉ, máy số zin toàn tập. Xe đẹp k lỗi, đăng kiểm dài tới T9/2026. Giá 182tr bao ký rút hồ sơ. Liên hệ 0906 899 686 thương lượng 🥰🥰🥰."
Hyundai Kona 1.6 Turbo 2018,495000000,2018,SUV,Trong nước,80000,Hải Phòng,Ngô Quyền,Số tự động,Máy xăng,"Kona 1.6 Tubor 2018. Đã lên Cốp điện, đèn led, tay cần số.. Cam kết không lỗi, không đâm đụng, ngập nước. Hỗ trợ trả góp 70% giá xe. Xem xe tại 3839 Lê Thánh Tông Hải Phòng."
Kia Morning Si 1.25 AT 2015,258000000,2015,Hatchback,Trong nước,10000,Hà Nội,Đông Anh,Số tự động,Máy xăng,"Bán Kia Morning đời 2015, số tự động, xe đẹp, máy Zin, sơn zin, nội thất đẹp miễn chê. Tư nhân, chính chủ đi giữ gìn. Gầm bệ chắc chắn, k đâm đụng, ngập nước. LH để xem xe."
Mercedes-Benz E300 AMG 2020,1799000000,2020,Sedan,Trong nước,28000,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Mer E300 AMG sx 2020 Up full E63 thể thao cá tính cho anh em sành chơi. Màu trắng ghế nâu siêu sang, siêu lướt 2,8v km lý lịch chăm hãng đẹp. Sơn Zin 95%. E300 2020 tiểu Méc S cao cấp, cuốn hút lưới tản nhiệt Panamericana, volang AMG cacbon, cụm phanh, lazang hiệu suất cao siêu đẹp.. Chứng Nhận NGON chỉ Việc CHÉN ACE TỰ TIN CỌC ONLINE. ACE kết nối có khách cùng bán. Thank’s! Ở đâu giá tốt CHỐT đây sẽ tốt hơn. Giá rất linh động miễn sao vào việc trôi được xe. CS1 Hà Nội: VILLA 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hanoi. (Cạnh Công Viên Yên Hoà)."
MG ZS 1.5L STD+ 2022,425000000,2022,SUV,Nhập khẩu,50000,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"MG ZS Standard 1.5AT 2WD sx 2022 1 chủ mua từ hãng quanh phố 5vạnkm ZIN (Sai Tặng Xe) rất mới chủ đi rất giữ gìn nội thất cực đẹp xe đã kiểm tra check test đầy đủ chứng chỉ việc chén. Về chỉ rửa qua nước lã là đi khách. ACE TỰ TIN CỌC ONLINE. ACE kết nối có khách cùng bán. Thank’s! Ở đâu giá tốt CHỐT đây sẽ tốt hơn. Giá rất linh động miễn sao vào việc trôi được xe. CS1 Hà Nội: VILLA 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hanoi. (Cạnh Công Viên Yên Hoà)."
Mitsubishi Pajero Sport D 4x2 AT 2020,835000000,2020,SUV,Nhập khẩu,60000,Hà Nội,Cầu Giấy,Số tự động,Máy dầu,"Mitsubishi Pajero Sport 2.4D 4x2 sản xuất 2020 tên công ty xuất hoá đơn. 300tr. Odo 6 vạn km chủ đi giữ gìn, xe cực mới không lỗi nhỏ. Đã lên gần 100 triệu tiền đồ chơi: Mâm Cosmis, Pô thể thao, đèn Biled, Bi gầm, Racechip, Cam lề.. Đồ zin vẫn còn theo xe. ACE kết nối có khách cùng bán. Thank’s! Ở đâu giá tốt CHỐT đây sẽ tốt hơn. Giá rất linh động miễn sao vào việc trôi được xe. Hotline / Zalo 0845325666. CS1 Hà Nội: VILLA 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hanoi. (Cạnh Công Viên Yên Hoà)."
VinFast LUX SA2.0 Nâng cao 2020,715000000,2020,SUV,Trong nước,70000,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Vinfast Lux SA 2.0 Plus sx 2020 Đỏ//Nâu CF xe đã chạy 7vạnkm Đại Chất. Chủ đi rất giữ gìn đa. Lên khá nhiều đồ chơi. Về rửa qua nước lả là đi khách. ACE TỰ TIN CỌC ONLINE. ACE kết nối có khách cùng bán. Thank’s! Ở đâu giá tốt CHỐT đây sẽ tốt hơn. Giá rất linh động miễn sao vào việc trôi được xe. Hotline / Zalo. 0845325666. AUTO CHỐT. CS1 Hà Nội: VILLA 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hanoi. (Cạnh Công Viên Yên Hoà)."
Toyota Veloz Cross 1.5 CVT 2022,585000000,2022,SUV,Nhập khẩu,30000,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Toyota Veloz Cross 1.5 CVT SX 2022 dklđ 2023 Nhập Khẩu Nguyên Chiếc 1 chủ từ đầu chạy 3vạnkm xe zin từ A đến Á đẹp hết nước chấm, ACE TỰ TIN CỌC ONLINE. ACE kết nối có khách cùng bán. Thank’s! Ở đâu giá tốt CHỐT đây sẽ tốt hơn. Giá rất linh động miễn sao vào việc trôi được xe. Hotline / Zalo 0845325666. CS1 Hà Nội: VILLA 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hanoi. (Cạnh Công Viên Yên Hoà)."
Lexus LX 570 570 2014,3189000000,2014,SUV,Nhập khẩu,110000,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Lexus Lx570 sx 2014 Up From 2021 xe đã chạy 11vạnkm Bố Của đẹp. Mới các chủ tích CHÉN, đẹp hết nước chấm, ACE TỰ TIN CỌC ONLINE. ACE kết nối có khách cùng bán. Thank’s! Ở đâu giá tốt CHỐT đây sẽ tốt hơn. Giá rất linh động miễn sao vào việc trôi được xe. CS1 Hà Nội: VILLA 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hanoi. (Cạnh Công Viên Yên Hoà)."
Kia Seltos 1.4 Premium 2023,685000000,2023,SUV,Trong nước,15000,Hà Nội,,Máy xăng,,Cam Kết khung gầm số máy đinh tán cột kèo keo chỉ zin.. Không đâm đụng không ngập nước. Check test theo chỉ định. Đ/c: BTFB62 đường Lê Trọng Tấn An Khánh Hà Nội LH: 0968099336.
Toyota Corolla Cross 1.8 V 2022,770000000,2022,SUV,Nhập khẩu,36000,Hà Nội,,Máy xăng,,Cam Kết khung gầm keo chỉ số máy cột kèo đinh tán zin.. Không đâm đụng không ngập nước bằng văn bản. Check test theo chỉ định. Đ/c: BTFB62 đường Lê Trọng Tấn An Khánh Hà Nội LH 0968099336.
Kia K3 1.6 Premium 2022,565000000,2022,Sedan,Trong nước,40000,Hà Nội,,Máy xăng,,Xe đẹp không lỗi. Khung gầm keo chỉ số máy cột kèo đinh tán nguyên zin. Không đâm đụng không ngập nước. Check test theo yêu cầu sai mô tả cửa hàng chịu tiền check. Lh 0968099336.
Ford Fiesta Sport 1.5L AT 2018,368000000,2018,Hatchback,Trong nước,50000,Tp.HCM,Tân Phú,Số tự động,Máy xăng,"Ford Fiesta 2018 Sport bản đủ, Mẫu dáng thể thao sang trọng dòng số động cao cấp của Fiesta, Dòng xe của Mỹ nên trang bị full tính năng an toàn. Lợi điểm của Fiesta là công suất mạnh, giảm khí thải ra môi trường, Tiết kiệm nhiên liệu. Xe dòng cao cấp nên đằm chắc an toàn. Xe chủ sử dụng rất kỹ, nay đổi xe mới Everest mới 7 chỗ bên Bến Thành Ford nên mới thanh lý đổi bên chính hãng. Xe chủ yếu đưa đón con đi học. Nay con lớn nên đổi qua SUV 5 chỗ cỡ lớn để đi. Odo: 50.000km. Hỗ trợ vay ngân hàng từ 30.40.70% chỉ cần đưa trước tiền xe 150tr. Cam kết không đâm đụng, không ngập nước. Xe được kiểm tra 167 điểm theo tiêu chuẩn. Bảo hành chính hãng 20.000km hoặc đến 2025. Chủ đã trang bị đầy đủ option: Phim cách nhiệt, màn hình, camera de, viền che mưa, camera,.. Vì đi gia đình nên giữ gìn rất kỹ. Do đổi xe mới nên thanh lý. Hỗ trợ chi phí công chứng sang tên, rút hồ sơ về tỉnh. Nhận trao đổi ký gửi mua bán tất cả các dòng xe để nâng cấp đời xe cao hơn. Ưu đãi giá tốt khi mua các dòng xe Ford mới và cũ."
Mazda CX-5 2016,505000000,2016,SUV,Trong nước,100000,Hải Phòng,Ngô Quyền,Số tự động,Máy xăng,"CX5 1 cầu sx 2016. Phiên bản đã có phanh tay điện tử. 1 chut từ đầu, gốc Hải Phòng. Xe đẹp không lỗi, không đâm đụng, ngập nước. Nội ngoại thất còn rất mới. Bao check, test. Xem xe tại 3839 Lê Thánh Tông Hải Phòng."
Mitsubishi Xpander 1.5 AT 2020,505000000,2020,MPV,Nhập khẩu,46000,Hải Phòng,Ngô Quyền,Số tự động,Máy xăng,"Xpander 1.5 AT sx 2020. Nhập khẩu Indonesia. Xe đẹp, cam kết không lỗi, không đâm đụng, ngập nước. Hỗ trợ ngân hàng 70% giá xe. Xem xe tại 3839 Lê Thánh Tông Hải Phòng."
Kia Sorento 2.4 GAT AWD 2014,399000000,2014,SUV,Trong nước,12000,Hải Phòng,Ngô Quyền,Số tự động,Máy xăng,"Sorenội thấto 2.4 bản full máy xăng 2 cầu. Xe đẹp không lỗi, cam kết không đâm đụng, không ngập nước, không phạt nguội. Xe trang bị: Chìa khoá thông minh, điều hoà tự động 3 vùng, tích hợp phím bấm vô lăng, hệ thống âm thanh 6 loa, màn DVD tích hợp bản đồ, cửa sổ trời toàn cảnh Pnorama.. Xem xe tại 3839 Lê Thánh Tông Ngô Quyền Hải Phòng."
Honda CR-V 1.5 L 2022,935000000,2022,SUV,Trong nước,15000,Tp.HCM,Quận 9,Số tự động,Máy xăng,"Chất xe còn mới tinh. 1 chủ từ đầu dùng kỹ full lịch sử hãng. Xe cam kết không lỗi, check hãng toàn quốc. Xe tại HCM xem xe còn thương lượng. Lh 0389 66 7939."
Toyota Vios 1.5 E CVT 2021,428000000,2021,Sedan,Trong nước,50000,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,"Bán xe Toyota vios E sản xuất năm 2021, màu đỏ, đăng ký tên tư nhân, lăn bánh hơn 5 vạn km. Xe cực mới, lốp zin theo xe, lốp sơ cua chưa hạ. Xe được trang bị đông cơ xăng dual VVTi 1.5L hộp số tự động. Xe trang bị đầy đủ nội thất ghế da, lazang đúc vô lăng bọc da, màn hình xịn, camera lùi, xi nhan trên gương, gương gập điện, đèn pha bi xenon, phanh ABS, chống trơn trượt, túi khí.. Xe đẹp như mới cam kết không chạy dịch vụ. Vui lòng liên hệ: 0905608883 để biết thêm chi tiết!"
Ford Ranger XLS 2.2 4x2 AT 2024,698000000,2024,Bán Tải,Trong nước,10000,Tp.HCM,Tân Phú,Số tự động,Máy dầu,"Do muốn đổi qua Raptor 2 cầu bản cao cấp nhất nên đổi luôn cho máu. Xe mới nhận mới chạy dc 18.000km thôi. Zin 100% lên cũng nhiều đồ lắm luôn rồi, lót thùng, nắp thùng, bộ ghế da cao cấp, thảm lót sàn, phim cách nhiệt,.. Xe còn bảo hành như xe mới. Chưa có trầy xước gì hết luôn. Bán cũng tiếc mà máu đổi Rapor mới nên chơi lớn luôn. Ae thiện chí thì liên hẹ trực tiếp nhé. Miễn tiếp cò lái."
Ford Ranger Wildtrak 4x4 AT 2015,480000000,2015,Bán Tải,Nhập khẩu,150000,Phú Thọ,Đoan Hùng,Số tự động,Máy dầu,"Siêu Thị Ô tô Ánh Lý chào bán mẫu xe Ford Ranger Wildtrak 3.2AT sản xuất 2015 nhập khẩu, hai cầu, một chủ từ đầu, biển tỉnh hồ sơ rút cầm tay. + Dòng xe bán tải thể thao, thiết kế hiện đại, động cơ mạnh mẽ Turbo Diesel 3.2L với hộp số 6 cấp tự động, Hệ thống chuyển động 2 cầu chủ động gài bằng điện, tiêu chuẩn khí thải Euro 3. + Trang bị Full Options cao cấp nhất: Đèn bi Led, ngoại thất sơn si bóng đẹp, nội thất ghế da pha nỉ+thêu chỉ đỏ, màn hình cảm ứng 8 Inch kết hợp camera lùi, chế độ lái thể thao, Ga tự động Cruiser Conội thấtrol,.. + Trang bị An toàn phanh ABS 4 bánh, 6 túi khí an toàn, hệ thống cân bằng tự động, hỗ trợ đổ đèo, cảnh báo va chạm bằng âm thanh.. + Cam kết xe: Không đâm đụng, không ngập nước, máy nguyên bản nhà sản xuất. Hỗ trợ trả góp 50% giá trị xe thủ tục nhanh gọn. Vui lòng liên hệ để biết thêm chi tiết!"
Toyota Corolla Altis 1.8E CVT 2021,576000000,2021,Sedan,Trong nước,27000,Hà Nội,Bắc Từ Liêm,Số tự động,Máy xăng,"E cần gả chiếc altis 2021 trắng cực đẹp về với chủ mới. Ngoại nội thất gìn giữ cực đẹp, nguyên zin từ đầu. Giá cả siêu đẹp cho bác nào thiện chí ạ."
Kia K250 2018,285000000,2018,Xe tải,Trong nước,10000,Hà Nội,Đông Anh,Số sàn,Máy dầu,"Bán Kia K250 thùng kín đời 2018, tải, 1,5 tấn, thùng 3m5, một chủ từ mới, xe đẹp zin nguyên không lỗi hay đâm đụng, ngập nước gì, máy móc zin nguyên bản. LH 0928888699."
Ford Everest Titanium 2.0 AT 4x2 2019,868000000,2019,SUV,Nhập khẩu,95000,Tp.HCM,Tân Phú,Số tự động,Máy dầu,"Everest phiên bản Titanium 4x2 số tự động cao cấp dẫn động 1 cầu sản xuất 2019 nhập Thái Lan. 2 chìa khóa, lốp dự phòng, bộ đồ nghề đầy đủ. Bảo dưỡng định kỳ chính hãng đầy đủ theo khuyến cáo nhà sản xuất. Xe nguyên Zin không chế độ. Xe đã qua quy trình kiểm tra kỹ thuật chính hãng Ford đạt 167 điểm theo tiêu chuẩn Ford Việt Nam cấp nên Anh Chị yên tâm khi mua xe tại đây nha. Cam kết không đâm đụng, không ngập nước, bao test hãng thoải mái. Hỗ trợ trả góp đến 65% TRẢ TRƯỚC khoảng 300.. Nhận xe. Hỗ trợ rút hồ sơ đăng ký sang tên các tỉnh. Tặng bảo dưỡng lần đầu thay nhớt lọc nhớt mới. Tặng bảo hiểm vật chất 2 chiều khi alo Dũng. Anh Chị quan tâm alo em nhé."
